onset	duration	condition_code	target_code	trial_type
20.0763867	17.5642703	3	2	countdown
37.640657	0.9763368	3	2	go_cue
55.3364407	17.543787	2	3	countdown
72.8802277	0.9766806	2	3	go_cue
91.5562346	17.5645128	1	3	countdown
109.1207474	0.9762993	1	3	go_cue
127.2961481	17.5445293	4	2	countdown
144.8406774	0.9763792	4	2	go_cue
163.5167692	17.5637917	4	4	countdown
181.0805609	0.9766128	4	4	go_cue
199.7754321	17.5646804	2	3	countdown
217.3401125	0.9769381	2	3	go_cue
235.4967955	17.5635184	1	3	countdown
253.0603139	0.976529	1	3	go_cue
272.2359075	17.5642735	3	3	countdown
289.800181	0.9766467	3	3	go_cue
307.4765973	17.5636897	3	3	countdown
325.040287	0.9764381	3	3	go_cue
342.7351733	17.564944	1	3	countdown
360.3001173	0.9764131	1	3	go_cue
377.4754498	17.5447915	4	3	countdown
395.0202413	0.9762394	4	3	go_cue
413.7151752	17.5643845	2	2	countdown
431.2795597	0.9772501	2	2	go_cue
