onset	duration	condition_code	target_code	trial_type
20.0822247	17.2636149	3	4	countdown
37.3458396	0.9783666	3	4	go_cue
55.0613608	17.263674	2	1	countdown
72.3250348	0.9591305	2	1	go_cue
91.0038871	17.263391	1	2	countdown
108.2672781	0.9588347	1	2	go_cue
127.9682622	17.2635879	4	2	countdown
145.2318501	0.9589984	4	2	go_cue
162.9273932	17.2842594	2	1	countdown
180.2116526	0.9786801	2	1	go_cue
199.9324778	17.2639189	3	1	countdown
217.1963967	0.9784467	3	1	go_cue
236.9162167	17.2639594	1	2	countdown
254.1801761	0.958774	1	2	go_cue
272.8789445	17.2638864	4	4	countdown
290.1428309	0.9783433	4	4	go_cue
309.8631353	17.2638188	1	3	countdown
327.1269541	0.978572	1	3	go_cue
344.3021091	17.2629552	2	4	countdown
361.5650643	0.9792183	2	4	go_cue
381.2861754	17.2638019	3	4	countdown
398.5499773	0.9585768	3	4	go_cue
416.2264523	17.2631737	4	2	countdown
433.489626	0.9787819	4	2	go_cue
