onset	duration	condition_code	target_code	trial_type
20.0632133	17.5713222	2	2	countdown
37.6345355	0.9801575	2	2	go_cue
55.7816233	17.5705253	1	4	countdown
73.3521486	0.9799708	1	4	go_cue
91.5152962	17.5547749	3	2	countdown
109.0700711	0.9796687	3	2	go_cue
127.7341123	17.5368536	4	1	countdown
145.2709659	0.9795986	4	1	go_cue
164.9343565	17.5536515	3	2	countdown
182.488008	0.9632024	3	2	go_cue
200.1354548	17.5537671	4	4	countdown
217.6892219	0.9628694	4	4	go_cue
235.3514006	17.5379958	2	4	countdown
252.8893964	0.9801943	2	4	go_cue
272.5533088	17.5537015	1	2	countdown
290.1070103	0.9635192	1	2	go_cue
308.2377108	17.5533008	2	4	countdown
325.7910116	0.9801965	2	4	go_cue
342.9543106	17.5546611	4	1	countdown
360.5089717	0.9630535	4	1	go_cue
379.139513	17.5375524	3	1	countdown
396.6770654	0.9623115	3	1	go_cue
414.3222337	17.571932	1	1	countdown
431.8941657	0.9794011	1	1	go_cue
