onset	duration	condition_code	target_code	trial_type
20.0766039	17.5444923	3	3	countdown
37.6210962	0.9763412	3	3	go_cue
55.2974294	17.5437091	4	3	countdown
72.8411385	0.9762601	4	3	go_cue
91.5362683	17.5449142	1	4	countdown
109.0811825	0.976795499	1	4	go_cue
128.2378368	17.5426896	2	2	countdown
145.7805264	0.976919901	2	2	go_cue
164.4766938	17.5445552	4	1	countdown
182.021249	0.9761686	4	1	go_cue
199.6976258	17.5633677	3	3	countdown
217.2609935	0.9765207	3	3	go_cue
236.9565087	17.5644147	1	2	countdown
254.5209234	0.976526801	1	2	go_cue
273.197381	17.5633346	2	3	countdown
290.7607156	0.9768999	2	3	go_cue
309.9366966	17.5644268	3	1	countdown
327.5011234	0.976888699	3	1	go_cue
347.1776029	17.5642851	4	1	countdown
364.741888	0.975780199	4	1	go_cue
382.436461	17.5443831	2	2	countdown
399.9808441	0.9765693	2	2	go_cue
417.6575263	17.5636225	1	2	countdown
435.2211488	0.976217399	1	2	go_cue
