onset	duration	condition_code	target_code	trial_type
20.0755005	17.5646747	2	2	countdown
37.6401752	0.9765571	2	2	go_cue
56.3166767	17.5637805	1	3	countdown
73.8804572	0.9759639	1	3	go_cue
93.0560013	17.5648696	3	1	countdown
110.6208709	0.976273	3	1	go_cue
130.2969545	17.5652071	4	2	countdown
147.8621616	0.9745833	4	2	go_cue
167.5370432	17.5440125	3	1	countdown
185.0810557	0.9756026	3	1	go_cue
202.7570191	17.5634999	4	4	countdown
220.320519	0.9759224	4	4	go_cue
240.0153545	17.5653967	2	1	countdown
257.5807512	0.9767965	2	1	go_cue
274.7362117	17.5642788	1	4	countdown
292.3004905	0.9761727	1	4	go_cue
311.9764	17.5438149	2	1	countdown
329.5202149	0.9763303	2	1	go_cue
348.695699	17.5449653	3	2	countdown
366.2406643	0.9765037	3	2	go_cue
383.9168872	17.5637691	4	2	countdown
401.4806563	0.9760972	4	2	go_cue
420.1751756	17.564972	1	3	countdown
437.7401476	0.9764276	1	3	go_cue
