onset	duration	condition_code	target_code	trial_type
20.2557966	17.5642266	1	1	countdown
37.8200232	0.976595	1	1	go_cue
55.0755173	17.5652359	4	1	countdown
72.6407532	0.975825	4	1	go_cue
92.3166424	17.5436703	3	4	countdown
109.8603127	0.9763389	3	4	go_cue
127.6351925	17.564785	2	2	countdown
145.1999775	0.9765849	2	2	go_cue
162.8762784	17.5637	1	3	countdown
180.4399784	0.9765223	1	3	go_cue
197.5963282	17.5636203	2	4	countdown
215.1599485	0.9766274	2	4	go_cue
232.4557461	17.5648061	3	4	countdown
250.0205522	0.9761161	3	4	go_cue
268.6966294	17.563703	4	1	countdown
286.2603324	0.9761755	4	1	go_cue
306.0151817	17.5647538	1	2	countdown
323.5799355	0.9770076	1	2	go_cue
341.2955434	17.565034	3	4	countdown
358.8605774	0.9760882	3	4	go_cue
378.5752643	17.5646321	2	4	countdown
396.1398964	0.9767448	2	4	go_cue
414.3356773	17.5646208	4	1	countdown
431.9002981	0.9762861	4	1	go_cue
