onset	duration	condition_code	target_code	trial_type
20.0751908	17.5647105	2	1	countdown
37.6399013	0.976823	2	1	go_cue
54.7961241	17.5637963	1	3	countdown
72.3599204	0.9766726	1	3	go_cue
90.0558768	17.5643048	3	2	countdown
107.6201816	0.9765941	3	2	go_cue
127.2963803	17.5636938	4	4	countdown
144.8600741	0.976539	4	4	go_cue
162.5550585	17.5649623	2	3	countdown
180.1200208	0.9767212	2	3	go_cue
199.2955009	17.5644688	4	3	countdown
216.8599697	0.9766808	4	3	go_cue
234.5551396	17.564847	1	2	countdown
252.1199866	0.9765022	1	2	go_cue
271.2956064	17.5646331	3	4	countdown
288.8602395	0.9763823	3	4	go_cue
306.5552016	17.5646625	1	4	countdown
324.1198641	0.9766683	1	4	go_cue
342.7960286	17.5640095	2	3	countdown
360.3600381	0.9763636	2	3	go_cue
378.0553547	17.5648659	4	4	countdown
395.6202206	0.9763932	4	4	go_cue
414.2963275	17.5637609	3	4	countdown
431.8600884	0.9764568	3	4	go_cue
