onset	duration	condition_code	target_code	trial_type
20.0473532	17.5540907	3	2	countdown
37.6014439	0.9794757	3	2	go_cue
55.2802578	17.5378983	1	4	countdown
72.8181561	0.9802109	1	4	go_cue
92.4981583	17.5549439	4	3	countdown
110.0531022	0.9629284	4	3	go_cue
128.6984701	17.5548598	2	1	countdown
146.2533299	0.9635214	2	1	go_cue
164.3837456	17.5204326	2	4	countdown
181.9041782	0.9635469	2	4	go_cue
199.0504538	17.5549093	3	3	countdown
216.6053631	0.9626506	3	3	go_cue
236.2524065	17.5367984	4	4	countdown
253.7892049	0.9633499	4	4	go_cue
271.4516955	17.5049489	1	2	countdown
288.9566444	0.9800406	1	2	go_cue
307.1037796	17.5537453	2	4	countdown
324.6575249	0.9798375	2	4	go_cue
341.8203741	17.5047249	4	2	countdown
359.325099	0.9632023	4	2	go_cue
376.9555331	17.5535282	3	3	countdown
394.5090613	0.9628286	3	3	go_cue
412.1715319	17.5382438	1	1	countdown
429.7097757	0.9631199	1	1	go_cue
