onset	duration	condition_code	target_code	trial_type
20.0472803	17.5038746	3	1	countdown
37.5511549	0.962697	3	1	go_cue
55.2132994	17.571567	1	2	countdown
72.7848664	0.9633697	1	2	go_cue
91.9312758	17.5716358	4	3	countdown
109.5029116	0.9627983	4	3	go_cue
127.1482968	17.5716627	2	3	countdown
144.7199595	0.9799198	2	3	go_cue
163.3995974	17.5547981	3	4	countdown
180.9543955	0.9630882	3	4	go_cue
198.6013887	17.5377507	4	3	countdown
216.1391394	0.9793182	4	3	go_cue
235.8173463	17.5384288	1	2	countdown
253.3557751	0.9798994	1	2	go_cue
272.0192627	17.5368866	2	1	countdown
289.5561493	0.9805841	2	1	go_cue
308.7036417	17.5202558	1	4	countdown
326.2238975	0.963188	1	4	go_cue
345.3703047	17.5048124	3	2	countdown
362.8751171	0.9628542	3	2	go_cue
381.5224831	17.4698654	4	1	countdown
398.9923485	0.9632287	4	1	go_cue
418.654809	17.5372776	2	3	countdown
436.1920866	0.9648932	2	3	go_cue
