onset	duration	condition_code	target_code	trial_type
20.0576291	17.5635238	3	1	countdown
37.6211529	0.9766008	3	1	go_cue
55.29753	17.5638282	4	1	countdown
72.8613582	0.976296	4	1	go_cue
92.5566563	17.5644991	2	3	countdown
110.1211554	0.976564	2	3	go_cue
129.2772834	17.5634516	1	1	countdown
146.840735	0.9767793	1	1	go_cue
164.5364838	17.5648126	3	4	countdown
182.1012964	0.9760234	3	4	go_cue
199.7774779	17.5633741	4	1	countdown
217.340852	0.9766271	4	1	go_cue
237.0365465	17.5644937	1	4	countdown
254.6010402	0.9764973	1	4	go_cue
273.7570419	17.5639409	2	3	countdown
291.3209828	0.9765327	2	3	go_cue
310.4967137	17.5651832	4	4	countdown
328.0618969	0.9756771	4	4	go_cue
345.7563261	17.5645084	2	1	countdown
363.3208345	0.9764255	2	1	go_cue
381.4966086	17.5645013	3	1	countdown
399.0611099	0.9761499	3	1	go_cue
417.7561522	17.5646699	1	2	countdown
435.3208221	0.9767066	1	2	go_cue
