onset	duration	condition_code	target_code	trial_type
20.0631397	17.6573138	2	1	countdown
37.7204535	0.9608603	2	1	go_cue
57.1479317	17.65624	3	1	countdown
74.8041717	0.9779169	3	1	go_cue
94.7496159	17.6565178	4	4	countdown
112.4061337	0.9770969	4	4	go_cue
130.3822735	17.6571644	1	4	countdown
148.0394379	0.9611629	1	4	go_cue
166.9841502	17.6557876	2	2	countdown
184.6399378	0.9613882	2	2	go_cue
202.5850937	17.6559454	1	3	countdown
220.2410391	0.9610747	1	3	go_cue
238.668555	17.6568369	3	4	countdown
256.3253919	0.9774719	3	4	go_cue
274.2869514	17.6553956	4	4	countdown
291.942347	0.9615386	4	4	go_cue
311.9044258	17.6391221	3	3	countdown
329.5435479	0.9775217	3	3	go_cue
347.5205375	17.6562029	2	4	countdown
365.1767404	0.9617892	2	4	go_cue
384.1389014	17.672396	1	4	countdown
401.8112974	0.9618798	1	4	go_cue
421.2559654	17.672999	4	3	countdown
438.9289644	0.978094	4	3	go_cue
